Código,Descripción,Final USD,Final Esp USD,PROMO final USD,Categoría,Sub Categoría,Marca,Tipo de IVA
MD8GD4320016XR,DDR4 8 GB 3200MHZ PNY GAMING RETAIL,51.26,49.73,45.49,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GD4320016XRGB,DDR4 8 GB 3200MHZ PNY GAMING RETAIL XLR8 RGB,54.68,53.04,49.73,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GSD4320016-TB,DDR4 8 GB 3200MHZ PNY RETAIL 1.35V,43.28,41.98,35.36,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
MD8GSD4320016/TB,DDR4 8 GB 3200MHZ PNY RETAIL 1.35V,43.28,41.98,35.36,HARDWARE,MEMORIAS PARA COMPUTADORAS,PNY,10.5
KVR32S22S8/8,DDR4 8 GB 3200MHZ SODIMM KINGSTON,74.05,71.83,54.15,HARDWARE,MEMORIAS PARA NOTEBOOK,KINGSTON,10.5
KVR32S22S6/8,DDR4 8 GB 3200MHZ SODIMM KINGSTON,74.05,71.83,54.15,HARDWARE,MEMORIAS PARA NOTEBOOK,KINGSTON,10.5
AX4U320088G16A-SB10,DDR4 8 GB 3200MHZ XPG GAMMIX D10 BLACK,55.92,54.24,,HARDWARE,MEMORIAS PARA COMPUTADORAS,XPG,10.5
X4U320008G16A-CBK20,DDR4 8 GB 3200MHZ XPG GAMMIX D10 BLACK ADATA,55.86,54.18,,HARDWARE,MEMORIAS PARA COMPUTADORAS,XPG,10.5
WD10PURZ,DISCO RIGIDO 1 TB SATA III PURPLE WD,98.37,95.42,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD22PURZ,DISCO RIGIDO 2 TB SATA III PURPLE WD,119.61,116.03,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD42PURZ,DISCO RIGIDO 4 TB SATA III PURPLE WD,199.41,193.43,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD63PURZ,DISCO RIGIDO 6 TB SATA III PURPLE WD,273.41,265.2,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
WD82PURZ,DISCO RIGIDO 8 TB SATA III PURPLE WD,374.79,363.55,,HARDWARE,DISCOS INTERNOS,WESTER DIGITAL,10.5
ST8000VE000,DISCO RIGIDO 8 TB SATA III SEAGATE SKYHAWK SURVEILLANCE,341.75,331.5,,HARDWARE,DISCOS INTERNOS,SEAGATE,10.5
HDWG180XZSTA,DISCO RIGIDO 8 TB SATA III TOSHIBA N300 NAS,337.18,327.08,,HARDWARE,DISCOS INTERNOS,TOSHIBA,10.5
ASU650SS-120GT-R,"DISCO SSD 120GB SATA III 2.5"" ADATA SU650",28.48,27.63,,HARDWARE,DISCOS INTERNOS SSD,A-DATA,10.5
M280CS1031-1TB-CL,DISCO SSD 1TB M.2 NVME PNY CS1031,102.52,99.45,96.14,HARDWARE,DISCOS INTERNOS SSD,PNY,10.5
SNV2S-1000G.,DISCO SSD 1TB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,135.16,131.11,124.87,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
SNV2S-1000G,DISCO SSD 1TB NV2 SNVS SERIE-PCIe NVME M.2 KINGSTON,135.16,131.11,124.86,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
SSD7CS900-1TB-RB,"DISCO SSD 1TB SATA III 2.5"" PNY CS900",96.83,93.93,88.4,HARDWARE,DISCOS INTERNOS SSD,GENERAL,10.5
SA400S37-240G,"DISCO SSD 240GB SATA III 2.5"" A400 KINGSTON",47.85,46.41,43.1,HARDWARE,DISCOS INTERNOS SSD,KINGSTON,10.5
